titles,authors,id,avg_rating,tot_rating,year_pub,img,description,genre,format,page,isbn,au_ge,key_words,bow
Greenmantle (Richard Hannay #2),John Buchan,161000,3.76,3650,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1314968556l/161000.jpg,"It is November, 1915. Major-General Sir Richard Hannay, KCB, OBE, DSO, Legion of Honour, is called in to investigate rumours of an uprising in the Muslim world, and undertakes a perilous journey through enemy territory to meet his friend Sandy in Constantinople. Once there, he and his friends must thwart the Germans' plans to use religion to help them win the war, climaxing at the battle of Erzurum. (less)","Fiction, Adventure, Classics, Thriller, Mystery, Historical, Historical Fiction, Spy Thriller, Espionage",paperback,204.0,9781406942774.0,johnbuchan fiction adventure classics thriller mystery historical historicalfiction spythriller espionage,friend sandy perilous journey war climaxing uprising use religion meet called investigate rumours win undertakes erzurum less enemy territory help muslim world honour battle germans plans constantinople november major general sir richard hannay kcb obe dso legion friends must thwart,johnbuchan fiction adventure classics thriller mystery historical historicalfiction spythriller espionage friend sandy perilous journey war climaxing uprising use religion meet called investigate rumours win undertakes erzurum less enemy territory help muslim world honour battle germans plans constantinople november major general sir richard hannay kcb obe dso legion friends must thwart
"The Son of Tarzan (Tarzan, #4)",Edgar Rice Burroughs,589898,3.79,4212,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1176073415l/589898.jpg,"Alexis Paulvitch, one of Tarzan's enemies, wants to get even, so he draws Tarzan's son, Jack, away from London, but Jack isn't so easy to capture and kill. He escapes, and makes a home among the apes as his father did. He becomes known as Korak the Killer, and meets a lovely young woman named Meriem. Narrow escapes, fun action, and a definite sense of adventure in the wilds of Africa make this a must-read book. (less)","Adventure, Fiction, Fantasy, Classics",paperback,280.0,9781576466421.0,edgarriceburroughs adventure fiction fantasy classics,africa make must read book less tarzans enemies wants adventure home among capture escapes father makes london definite sense korak jack isnt becomes known meets apes kill wilds alexis paulvitch one lovely young woman named meriem narrow fun action easy draws son away killer get even,edgarriceburroughs adventure fiction fantasy classics africa make must read book less tarzans enemies wants adventure home among capture escapes father makes london definite sense korak jack isnt becomes known meets apes kill wilds alexis paulvitch one lovely young woman named meriem narrow fun action easy draws son away killer get even
Democracy and Education,John Dewey,369051,4.03,1781,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1418615001l/369051.jpg,"In this book, written in 1916, Dewey tries to criticize and expand on the educational philosophies of Rousseau and Plato. Dewey's ideas were seldom adopted in America's public schools, although a number of his prescriptions have been continually advocated by those who have had to teach in them.","Education, Philosophy, Nonfiction, Politics, Teaching",paperback,384.0,9780684836317.0,johndewey education philosophy nonfiction politics teaching,dewey tries seldom adopted teach americas public schools although educational philosophies number plato deweys ideas book written continually advocated expand prescriptions rousseau criticize,johndewey education philosophy nonfiction politics teaching dewey tries seldom adopted teach americas public schools although educational philosophies number plato deweys ideas book written continually advocated expand prescriptions rousseau criticize
Trifles,Susan Glaspell,1033755,3.83,4472,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1396886077l/1033755.jpg,"Trifles is a one-act play by Susan Glaspell. Her short story, ""A Jury of Her Peers"", was adapted from the play a year after its debut. It was first performed by the Provincetown Players at the Wharf Theatre in Provincetown, Massachusetts on August 8, 1916. In the original play, Glaspell played the role of one of the characters, Mrs. Hale. It is frequently anthologized in American literature textbooks.  The play begins as the county attorney, the sherrif, Mr. Hale, Mrs. Peters, and Mrs. Hale enter the Wright's empty farm house. On prompting from the county attorney, Mr. Hale recounts his visit to the house the previous day, when he found Mrs. Wright behaving strangely and found her husband upstairs with a rope around his neck, dead. Mr. Hale notes that, when he questioned her, Mrs. Wright claimed that she was fast asleep when someone strangled her husband.  Often hailed as one of the quintessential feminist plays, 'Trifles' earned Glaspell a Pulitzer Prize and renewed literary recognition. (less)","Plays, Drama, Classics, Academic, School, Academic, Read For School, Fiction, Plays, Theatre, Feminism, Short Stories, Mystery",hardcover,20.0,9780887345814.0,susanglaspell plays drama classics academic school academic readforschool fiction plays theatre feminism shortstories mystery,american literature textbooks house one act play prompting wrights empty farm questioned county attorney mr hale recounts trifles provincetown players massachusetts quintessential feminist plays earned glaspell visit role husband upstairs begins first performed adapted characters mrs found pulitzer prize original played wright claimed rope around behaving strangely debut susan frequently anthologized enter sherrif peters fast asleep renewed literary recognition less previous day jury wharf theatre often hailed short story neck dead notes august someone strangled year peers,susanglaspell plays drama classics academic school academic readforschool fiction plays theatre feminism shortstories mystery american literature textbooks house one act play prompting wrights empty farm questioned county attorney mr hale recounts trifles provincetown players massachusetts quintessential feminist plays earned glaspell visit role husband upstairs begins first performed adapted characters mrs found pulitzer prize original played wright claimed rope around behaving strangely debut susan frequently anthologized enter sherrif peters fast asleep renewed literary recognition less previous day jury wharf theatre often hailed short story neck dead notes august someone strangled year peers
Under Fire,Henri Barbusse,48176,3.83,1360,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388293713l/48176.jpg,"Based on his own experience of the Great War, Henri Barbusse's novel is a powerful account of one of the greatest horrors mankind has ever inflicted on itself.  For the group of ordinary men in the French Sixth Battalion, thrown together from all over France and longing for home, war is simply a matter of survival, lightened only by the arrival of their rations or a glimpse of a pretty girl or a brief reprieve in the hospital. Reminiscent of classics like Hemingway's A Farewell to Arms and Remarque's All Quiet on the Western Front, Under Fire (originally published in French as La Feu) vividly evokes life in the trenches: the mud, stench, and monotony of waiting while constantly fearing for one's life in an infernal and seemingly eternal battlefield.  For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators. (less)","Fiction, War, War, World War I, Cultural, France, Historical, Historical Fiction",paperback,352.0,9780143039044.0,henribarbusse fiction war war worldwari cultural france historical historicalfiction,global bookshelf western front infernal greatest horrors mankind ever inflicted fire originally published introductions ones life arms matter across genres one french award winning translators less trenches leading publisher well hospital reminiscent la feu vividly evokes pretty girl ordinary men simply longing home war seemingly eternal battlefield best works throughout history date translations sixth battalion thrown together monotony constantly fearing remarques france series rations group arrival classic literature experience provide authoritative texts enhanced mud stench survival lightened classics like hemingways disciplines readers trust titles penguin represents farewell great henri barbusses novel glimpse contemporary authors seventy years based notes powerful account waiting english speaking world brief reprieve quiet distinguished scholars,henribarbusse fiction war war worldwari cultural france historical historicalfiction global bookshelf western front infernal greatest horrors mankind ever inflicted fire originally published introductions ones life arms matter across genres one french award winning translators less trenches leading publisher well hospital reminiscent la feu vividly evokes pretty girl ordinary men simply longing home war seemingly eternal battlefield best works throughout history date translations sixth battalion thrown together monotony constantly fearing remarques france series rations group arrival classic literature experience provide authoritative texts enhanced mud stench survival lightened classics like hemingways disciplines readers trust titles penguin represents farewell great henri barbusses novel glimpse contemporary authors seventy years based notes powerful account waiting english speaking world brief reprieve quiet distinguished scholars
"Tarzan and the Jewels of Opar (Tarzan, #5)",Edgar Rice Burroughs,474111,3.83,3427,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391967545l/474111.jpg,"Here Tarzan returns to Opar, the source of the gold for lost Atlantis. Ages ago Atlantis sunk beneath the waves -- but the denizens of Opar still mine the gold of this lost colony. Tarzan, following greedy pair -- one Belgian, one Arab -- into the jungle, where they stumble into the lost city. Bad enough -- and then Tarzan injures his head in a fight and loses his memory. That's great news for La, the high priestess for the Flaming God, who's had a serious crush on the apeman since their first encounter. But the priests who work for her have other ideas: they don't intend to allow Tarzan to escape their sacrificial knives a second time. (less)","Adventure, Fiction, Fantasy, Classics",hardcover,264.0,9781421807102.0,edgarriceburroughs adventure fiction fantasy classics,opar still mine escape denizens flaming god whos sacrificial knives lost colony tarzan following greedy pair one belgian arab waves fight source work apeman since priests high priestess second time less returns la city bad enough head injures allow first encounter stumble dont intend gold memory thats great news ideas atlantis ages ago sunk beneath jungle loses serious crush,edgarriceburroughs adventure fiction fantasy classics opar still mine escape denizens flaming god whos sacrificial knives lost colony tarzan following greedy pair one belgian arab waves fight source work apeman since priests high priestess second time less returns la city bad enough head injures allow first encounter stumble dont intend gold memory thats great news ideas atlantis ages ago sunk beneath jungle loses serious crush
Selected Stories,Robert Walser,160313,4.21,1269,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320472249l/160313.jpg,"How to place the mysterious Swiss writer Robert Walser, a humble genius who possessed one of the most elusive and surprising sensibilities in modern literature? Walser is many things: a Paul Klee in words, maker of droll, whimsical, tender, and heartbreaking verbal artifacts; an inspiration to such very different writers as Kafka and W.G. Sebald; an amalgam, as Susan Sontag suggests in her preface to this volume, of Stevie Smith and Samuel Beckett.  This collection gathers forty-two of Walser's stories. Encompassing everything from journal entries, notes on literature, and biographical sketches to anecdotes, fables, and visions, it is an ideal introduction to this fascinating writer of whom Hermann Hesse famously declared, ""If he had a hundred thousand readers, the world would be a better place.""  Response to a Request Flower Days Trousers Two Strange Stories Balloon Journey Kleist in Thum The Job Application The Boat A Little Ramble Helbling's Story The Little Berliner Nervous The Walk So! ""I've Got You"" Nothing at All Kienast Poests Frau Wilke The Street Snowdrops Winter The She-Owl Knocking Titus Vladimir Parisian Newspapers The Monkey Dostoevsky's Idiot Am I Dreaming? The Little Tree Stork and Porcupine A Contribution to the Celebration of Conrad Ferdinand Meyer A Sort of Speech A Letter to Therese Breitbach A Village Tale The Aviator The Pimp Masters and Workers Essay on Freedom A Biedermeier Story The Honeymoon Thoughts on Cezanne (less)","Short Stories, Fiction, Literature, European Literature, German Literature",paperback,208.0,9780940322981.0,robertwalser shortstories fiction literature europeanliterature germanliterature,therese breitbach pimp masters surprising sensibilities porcupine w g sebald hundred thousand readers sort stevie smith biedermeier story volume elusive little ramble helblings possessed one world would susan sontag suggests place owl knocking titus vladimir parisian newspapers aviator amalgam literature dreaming street snowdrops winter tree stork letter cezanne less conrad ferdinand meyer walk journal entries notes modern walser monkey dostoevskys idiot freedom words maker better response berliner nervous paul klee many things heartbreaking verbal artifacts collection gathers forty two walsers stories encompassing everything anecdotes fables ideal introduction job application nothing contribution speech ive got request flower days trousers strange balloon journey kleist mysterious swiss writer robert samuel beckett thum workers essay humble genius visions droll whimsical tender inspiration hermann hesse famously declared celebration village tale preface kafka different writers biographical sketches fascinating boat honeymoon thoughts kienast poests frau wilke,robertwalser shortstories fiction literature europeanliterature germanliterature therese breitbach pimp masters surprising sensibilities porcupine w g sebald hundred thousand readers sort stevie smith biedermeier story volume elusive little ramble helblings possessed one world would susan sontag suggests place owl knocking titus vladimir parisian newspapers aviator amalgam literature dreaming street snowdrops winter tree stork letter cezanne less conrad ferdinand meyer walk journal entries notes modern walser monkey dostoevskys idiot freedom words maker better response berliner nervous paul klee many things heartbreaking verbal artifacts collection gathers forty two walsers stories encompassing everything anecdotes fables ideal introduction job application nothing contribution speech ive got request flower days trousers strange balloon journey kleist mysterious swiss writer robert samuel beckett thum workers essay humble genius visions droll whimsical tender inspiration hermann hesse famously declared celebration village tale preface kafka different writers biographical sketches fascinating boat honeymoon thoughts kienast poests frau wilke
Chicago Poems,Carl Sandburg,596810,4.03,2239,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327932916l/596810.jpg,,"Poetry, Classics, Fiction",paperback,88.0,,carlsandburg poetry classics fiction,,carlsandburg poetry classics fiction 
Bunner Sisters,Edith Wharton,2288934,3.71,1393,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388920231l/2288934.jpg,"""Bunner Sisters,"" written in 1892 but not published until 1916 in Xingu and Other Stories, takes place in a shabby neighborhood in New York City. The two Bunner sisters, Ann Eliza the elder, and Evelina the younger, keep a small shop selling artificial flowers and small handsewn articles to Stuyvesant Square's ""female population."" Ann Eliza gives Evelina a clock for her birthday. The clock leads the sisters to become involved with Herbert Ramy, owner of ""the queerest little store you ever laid eyes on."" Soon Ramy is a regular guest of the Bunner sisters, who realize that their ""treadmill routine,"" once so comfortable, is now ""intolerably monotonous."" (less)","Classics, Fiction",paperback,136.0,9781421804293.0,edithwharton classics fiction,younger keep evelina birthday published queerest little store clock elder sisters shabby neighborhood become involved stuyvesant squares female population ann eliza gives regular guest small handsewn articles comfortable new york city two bunner treadmill routine realize shop selling artificial flowers stories takes place herbert ramy owner xingu ever laid eyes leads written intolerably monotonous less soon,edithwharton classics fiction younger keep evelina birthday published queerest little store clock elder sisters shabby neighborhood become involved stuyvesant squares female population ann eliza gives regular guest small handsewn articles comfortable new york city two bunner treadmill routine realize shop selling artificial flowers stories takes place herbert ramy owner xingu ever laid eyes leads written intolerably monotonous less soon
The Lost Continent,Edgar Rice Burroughs,29514,3.68,1742,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347566778l/29514.jpg,"The year is 2137. Two hundred years ago -- in our time, more or less -- Eurasia fought a war to end all wars, a war that meant, for all intents and purposes, the end of the Old World. The Americas managed to retain their civilization -- but only by engaging by the most extreme form or isolationism imaginable for two centuries, now, no American has ventured east of the thirtieth parallel. ""East for the East . . ."" the slogan went, ""The West for the West!"" Until a terrible storm at sea forced American lieutenant Jefferson Turck to disobey the law, seeking safe harbor in England -- where he found that two centuries of isolation have desolated the land. The damaged ship found a Europe that is no longer an enemy -- a ruined land that is utterly unable to be an enemy -- or a friend. (less)","Science Fiction, Fiction, Fantasy, Classics, Adventure, Science Fiction Fantasy, Pulp, Apocalyptic, Post Apocalyptic, Science Fiction, Alternate History, Action",paperback,108.0,9781600961502.0,edgarriceburroughs sciencefiction fiction fantasy classics adventure sciencefictionfantasy pulp apocalyptic postapocalyptic sciencefiction alternatehistory action,civilization americas managed sea forced american lieutenant jefferson turck ruined land war two hundred years ago end ventured east slogan went retain thirtieth parallel wars found extreme form meant utterly unable disobey england less eurasia fought enemy law seeking safe harbor engaging europe time friend desolated isolationism imaginable terrible storm isolation damaged ship longer west purposes intents old world year centuries,edgarriceburroughs sciencefiction fiction fantasy classics adventure sciencefictionfantasy pulp apocalyptic postapocalyptic sciencefiction alternatehistory action civilization americas managed sea forced american lieutenant jefferson turck ruined land war two hundred years ago end ventured east slogan went retain thirtieth parallel wars found extreme form meant utterly unable disobey england less eurasia fought enemy law seeking safe harbor engaging europe time friend desolated isolationism imaginable terrible storm isolation damaged ship longer west purposes intents old world year centuries
Priče iz davnine,Ivana Brlić-Mažuranić,4576186,4.17,2010,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1279745583l/4576186.jpg,"Priče iz davnine, glasovita zbirka od osam pripovijetki-bajki Ivane Brlić-Mažuranić, u kojima je autorica ostvarila svoj književni vrhunac. Zbirka je objavljena 1916. u izdanju Matice hrvatske, a drugo izdanje doživljava 1926.  Radnju pokreću likovi iz pretkršćanske, slavenske mitologije, koje je Brlić-Mažuranić, inače i dvostruka kandidatkinja za Nobelovu nagradu za književnost, stilizirala davši im određene osobine. Posluživši se oblikom bajke i fantastičnim elementima, stvorila je autonomni svijet davnine u kojem se mitski svijet spaja sa secesijski stiliziranom slikom vremena, prostora, likova i događaja. Prvo izdanje je imalo šest priča, a u drugom izdanju su dodane još dvije.  Croatian Tales of Long Ago (Croatian: Priče iz davnine), is a short story collection written by the acclaimed children's author Ivana Brlić-Mažuranić (sometimes spelled as ""Ivana Berlić-Mažuranić"" in English), originally published in 1916 in Zagreb by the Matica hrvatska publishing house. The collection is considered her masterpiece and it features a series of newly written fairy tales heavily inspired by motifs taken from ancient Slavic mythology of pre-Christian Croatia.  Croatian Tales of Long Ago are seen as one of the most typical examples of her writing style which has been compared by literary critics to Hans Christian Andersen and J. R. R. Tolkien due to the way it combines original fantasy plots with folk mythology. Summary by Wikipedia (less)","Classics, Childrens, Fantasy",hardcover,213.0,9789531967976.0,ivanabrlić-mažuranić classics childrens fantasy,folk mythology summary long ago wikipedia less priče iz davnine glasovita zbirka od osam pripovijetki bajki ivane brlić mažuranić u kojima je autorica ostvarila svoj književni vrhunac objavljena izdanju matice hrvatske seen zagreb događaja prvo izdanje imalo šest priča writing style english originally published collection short story written acclaimed childrens author ivana sometimes spelled one newly fairy tales heavily inspired motifs taken berlić way combines original fantasy plots series drugo doživljava radnju pokreću likovi pretkršćanske slavenske mitologije koje inače matica hrvatska publishing house masterpiece considered literary critics dvostruka kandidatkinja za nobelovu nagradu književnost stilizirala davši im određene osobine posluživši se oblikom bajke croatian hans christian andersen compared features drugom su dodane još dvije ancient slavic pre croatia j r tolkien due typical examples fantastičnim elementima stvorila autonomni svijet kojem mitski spaja sa secesijski stiliziranom slikom vremena prostora likova,ivanabrlić-mažuranić classics childrens fantasy folk mythology summary long ago wikipedia less priče iz davnine glasovita zbirka od osam pripovijetki bajki ivane brlić mažuranić u kojima je autorica ostvarila svoj književni vrhunac objavljena izdanju matice hrvatske seen zagreb događaja prvo izdanje imalo šest priča writing style english originally published collection short story written acclaimed childrens author ivana sometimes spelled one newly fairy tales heavily inspired motifs taken berlić way combines original fantasy plots series drugo doživljava radnju pokreću likovi pretkršćanske slavenske mitologije koje inače matica hrvatska publishing house masterpiece considered literary critics dvostruka kandidatkinja za nobelovu nagradu književnost stilizirala davši im određene osobine posluživši se oblikom bajke croatian hans christian andersen compared features drugom su dodane još dvije ancient slavic pre croatia j r tolkien due typical examples fantastičnim elementima stvorila autonomni svijet kojem mitski spaja sa secesijski stiliziranom slikom vremena prostora likova
The Little Lady of the Big House,Jack London,363976,3.9,1644,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1174119347l/363976._SY475_.jpg,"This novel features a love triangle between a rancher, Dick Forrest, his wife, Paula, and her lover, Evan Graham. All characters can be traced back to London and his friends and family. London called the novel ""all sex from start to finish--in which no sexual adventure is actually achieved or comes within a million miles of being achieved, and in which, nevertheless, is all the guts of sex...."" (less)","Classics, Fiction, Literature, American, Novels",paperback,244.0,9781406932232.0,jacklondon classics fiction literature american novels,love triangle lover evan graham comes within family london called sexual adventure nevertheless novel features start traced back friends sex less achieved wife paula guts million miles characters rancher dick forrest finish actually,jacklondon classics fiction literature american novels love triangle lover evan graham comes within family london called sexual adventure nevertheless novel features start traced back friends sex less achieved wife paula guts million miles characters rancher dick forrest finish actually
The Theory of the Novel,György Lukács,189603,3.86,1016,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404169080l/189603.jpg,"Georg Lukacs wrote The Theory of the Novel in 1914-1915, a period that also saw the conception of Rosa Luxemburg's Spartacus Letters, Lenin's Imperialism: The Highest Stage of Capitalism, Spengler's Decline of the West, and Ernst Bloch's Spirit of Utopia. Like many of Lukacs's early essays, it is a radical critique of bourgeois culture and stems from a specific Central European philosophy of life and tradition of dialectical idealism whose originators include Kant, Hegel, Novalis, Marx, Kierkegaard, Simmel, Weber, and Husserl.  The Theory of the Novel marks the transition of the Hungarian philosopher from Kant to Hegel and was Lukacs's last great work before he turned to Marxism-Leninism. (less)","Philosophy, Philosophy, Theory, Criticism, Literary Criticism, Nonfiction, Literature, Criticism",paperback,160.0,9780262620277.0,györgylukács philosophy philosophy theory criticism literarycriticism nonfiction literature criticism,utopia like many ernst blochs spirit highest stage husserl novel marks hungarian philosopher turned lukacss last great work bourgeois culture rosa luxemburgs spartacus letters lenins imperialism also saw specific central european philosophy stems kant hegel life georg lukacs wrote marxism leninism less tradition conception transition early essays west radical critique dialectical idealism whose originators include novalis marx kierkegaard simmel weber capitalism spenglers decline theory period,györgylukács philosophy philosophy theory criticism literarycriticism nonfiction literature criticism utopia like many ernst blochs spirit highest stage husserl novel marks hungarian philosopher turned lukacss last great work bourgeois culture rosa luxemburgs spartacus letters lenins imperialism also saw specific central european philosophy stems kant hegel life georg lukacs wrote marxism leninism less tradition conception transition early essays west radical critique dialectical idealism whose originators include novalis marx kierkegaard simmel weber capitalism spenglers decline theory period
A Thousand-Mile Walk to the Gulf,John Muir,238738,3.92,888,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389157257l/238738.jpg,"Here is the adventure that started John Muir on a lifetime of discovery. Taken from his earliest journals, this book records Muir's walk in 1867 from Indiana across Kentucky, Tennessee, North Carolina, Georgia, and Florida to the Gulf Coast. In his distinct and wonderful style, Muir shows us the wilderness, as well as the towns and people, of the South immediately after the Civil War. (less)","Environment, Nature, Nonfiction, Travel, Autobiography, Memoir, Biography, History",paperback,272.0,9780395901472.0,johnmuir environment nature nonfiction travel autobiography memoir biography history,people well earliest journals florida civil war less gulf coast adventure distinct indiana across kentucky tennessee north carolina georgia book records muirs walk south immediately wilderness towns started john muir lifetime wonderful style shows us discovery taken,johnmuir environment nature nonfiction travel autobiography memoir biography history people well earliest journals florida civil war less gulf coast adventure distinct indiana across kentucky tennessee north carolina georgia book records muirs walk south immediately wilderness towns started john muir lifetime wonderful style shows us discovery taken
The Best of Saki,Saki,71012,4.2,1279,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1483095387l/71012.jpg,"A collection of eight cases, contains examples -The Bruce Partington Plans-The Dying Detective, Wisteria Lodge & The devils Foot","Short Stories, Fiction, Classics, Humor, European Literature, British Literature",paperback,256.0,,saki shortstories fiction classics humor europeanliterature britishliterature,devils foot eight cases contains examples bruce partington plans dying detective wisteria lodge collection,saki shortstories fiction classics humor europeanliterature britishliterature devils foot eight cases contains examples bruce partington plans dying detective wisteria lodge collection
One Hundred and One Famous Poems: With a Prose Supplement,Roy Jay Cook,304728,4.28,1167,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369822640l/304728.jpg,"Nature, man and human history are reflected on in the verse of English and American poets and such prose works as the Gettysburg Address and the Declaration of Independence.","Poetry, Classics, Fiction",,186.0,9780809288311.0,royjaycook poetry classics fiction,verse independence human history reflected declaration american poets gettysburg address prose works english nature man,royjaycook poetry classics fiction verse independence human history reflected declaration american poets gettysburg address prose works english nature man
