titles,authors,id,avg_rating,tot_rating,year_pub,img,description,genre,format,page,isbn,au_ge,key_words,bow
Uneasy Money,(Compilation),764726,4.03,1503,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347515982l/764726.jpg,Uneasy Money sees the hard-up Lord Dawlish off to America to make a fortune.,"Fiction, Humor, Classics, Humor, Comedy",hardcover,256.0,9781841591322.0,(compilation) fiction humor classics humor comedy,fortune make hard america uneasy money sees lord dawlish,(compilation) fiction humor classics humor comedy fortune make hard america uneasy money sees lord dawlish
The Power of Concentration,P.G. Wodehouse,90102,3.75,887,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347272990l/90102.jpg,It is of the utmost value to learn how to concentrate. To make the greatest success of anything you must be able to concentrate your entire thought upon the idea you are working on. The person that is able to concentrate utilizes all constructive thoughts and shuts out all destructive ones. The greatest man would accomplish nothing if he lacked concentration.  This is a pre-1923 historical reproduction that was curated for quality. Quality assurance was conducted on each of these books in an attempt to remove books with imperfections introduced by the digitization process. Though we have made best efforts - the books may have occasional errors that do not impede the reading experience. We believe this work is culturally important and have elected to bring the book back into print as part of our continuing commitment to the preservation of printed works worldwide. (less),"Self Help, Psychology, Nonfiction, Self Help, Personal Development, Productivity, Business, Audiobook, Education, Spirituality",paperback,140.0,9781426400209.0,pgwodehouse selfhelp psychology nonfiction selfhelp personaldevelopment productivity business audiobook education spirituality,elected constructive thoughts utmost value bring reading experience pre historical reproduction believe printed works worldwide less shuts attempt books may made best efforts quality assurance destructive ones imperfections introduced work book back occasional errors greatest man would accomplish nothing part print curated remove make success working conducted concentrate lacked concentration anything learn impede idea utilizes preservation continuing commitment able person must entire thought upon culturally important digitization process though,pgwodehouse selfhelp psychology nonfiction selfhelp personaldevelopment productivity business audiobook education spirituality elected constructive thoughts utmost value bring reading experience pre historical reproduction believe printed works worldwide less shuts attempt books may made best efforts quality assurance destructive ones imperfections introduced work book back occasional errors greatest man would accomplish nothing part print curated remove make success working conducted concentrate lacked concentration anything learn impede idea utilizes preservation continuing commitment able person must entire thought upon culturally important digitization process though
The Alchemist,William Walker Atkinson,11554621,3.4,1625,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1339023458l/11554621.jpg,,"Horror, Short Stories, Fantasy, Horror, Lovecraftian, Classics, Fiction, Mystery",,10.0,,williamwalkeratkinson horror shortstories fantasy horror lovecraftian classics fiction mystery,,williamwalkeratkinson horror shortstories fantasy horror lovecraftian classics fiction mystery 
Just David,H.P. Lovecraft,1000752,4.17,933,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387725470l/1000752.jpg,"Eleanor Porter wrote this wonderful novel two years after the runaway success of her book Pollyanna. Though also a bestseller at the time, Just David has rarely been reprinted since its release in 1916. We felt a story this good shouldn’t be so hard to find, so we decided to put it back in print last year. Now it’s in a longer-lasting hardcover.  It is the story of David, a charming little boy of 10 who is suddenly transplanted from a world of music (he plays the violin) in the mountains with his father, to the provincialism of a workaday small town. But even more, it is the story of how David transplants his own character, courage and happiness into the lives of the people he meets, and wins their love and respect. Here’s what we say in the preface to the new edition:  Just David is a quiet, unassuming children’s novel about an orphaned young boy with a mysterious past. David, not the typical boy found in most stories of his day, is a mixture of simplicity and complexity whose disarming innocence has a profound effect on the people he encounters. Unlike the “good bad boy” often encountered in children’s literature, David is a “good good” boy. He is not in any way “goody-goody” in the moralistic sense, but simply and purely good. David’s goodness is not a mysterious quality that defies logic and imagination, but rather a quality cultivated in him by the intentional efforts of a wise and loving father. During David’s formative years, his father secluded him from the influences of the outside world, creating a private world in the mountains filled with simple pleasures, purposeful study, and beautiful music. David’s touching story is well within the scope of the imagination, and David’s endearing innocence, engaging personality, and natural character are unforgettable.  Just David struck a resonant chord in our family for several reasons. First, David’s life affirms the biblical principle expressed in the proverb, “He who walks with the wise grows wise, but a companion of fools suffers harm”. David walked with his father and became wise. Also, his story reminds us of the importance of creating the right “appetite” early in our children’s lives. David’s love of music, nature and beauty were intentionally cultivated in him by his father. Finally, there is a refreshing balance in David’s life and character that provides a literary model to emulate, especially for the more artistically-inclined boy often overlooked in literature. David is artistic, yet he knows when to be realistic. He is slight of stature, yet able to handily defend himself when necessary. He is trained and mannerly, yet he is also manly. He is sensitive, yet sensible. Whatever limitations he discovers, he meets them with strength of character.  This is truly one of those books that everyone in your family will like, and will likely want to hear or read more than once. We’re on our fourth reading! It has even inspired us to have Just David days for our children when we focus on the beautiful and lovely things God has given us to enjoy. Just David is just great. Includes family discussion questions at the end of the book.  --Whole Heart Ministries (less)","Classics, Fiction, Childrens, Historical, Historical Fiction",hardcover,240.0,9781888692051.0,hplovecraft classics fiction childrens historical historicalfiction,even decided workaday small town good bad boy often encountered emulate especially ’ profound effect david character encounters unlike quiet unassuming children given us wise grows simply importance happiness defies logic father secluded goodness beauty book pollyanna though also put beautiful life affirms story likely want fools suffers harm walked loving suddenly transplanted focus handily defend inspired great includes family discussion questions quality cultivated well within provides felt everyone necessary reprinted since mysterious wins right appetite early violin realistic intentionally lives discovers wonderful novel two years charming little trained artistically inclined overlooked people courage artistic yet world music intentional efforts meets strength stories walks mixture outside creating lovely things god manly preface days reminds say print last year enjoy simplicity like mountains filled past endearing innocence engaging personality biblical principle expressed end truly one moralistic sense stature able fourth reading refreshing balance respect hear touching proverb complexity whose disarming literature rather purely back bestseller provincialism whole heart ministries less imagination resonant chord rarely became orphaned young natural companion formative scope nature unforgettable day knows simple pleasures purposeful study new edition hard eleanor porter wrote runaway success find private slight longer lasting hardcover release typical found finally way goody love struck sensitive sensible whatever limitations books time plays mannerly read transplants literary model several reasons first influences,hplovecraft classics fiction childrens historical historicalfiction even decided workaday small town good bad boy often encountered emulate especially ’ profound effect david character encounters unlike quiet unassuming children given us wise grows simply importance happiness defies logic father secluded goodness beauty book pollyanna though also put beautiful life affirms story likely want fools suffers harm walked loving suddenly transplanted focus handily defend inspired great includes family discussion questions quality cultivated well within provides felt everyone necessary reprinted since mysterious wins right appetite early violin realistic intentionally lives discovers wonderful novel two years charming little trained artistically inclined overlooked people courage artistic yet world music intentional efforts meets strength stories walks mixture outside creating lovely things god manly preface days reminds say print last year enjoy simplicity like mountains filled past endearing innocence engaging personality biblical principle expressed end truly one moralistic sense stature able fourth reading refreshing balance respect hear touching proverb complexity whose disarming literature rather purely back bestseller provincialism whole heart ministries less imagination resonant chord rarely became orphaned young natural companion formative scope nature unforgettable day knows simple pleasures purposeful study new edition hard eleanor porter wrote runaway success find private slight longer lasting hardcover release typical found finally way goody love struck sensitive sensible whatever limitations books time plays mannerly read transplants literary model several reasons first influences
Abraham Lincoln,Eleanor H. Porter,13219113,3.95,300,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328866643l/13219113.jpg,"As preserver of the Union and emancipator of the slaves, Lincoln occupies a unique niche in the pantheon of American leaders. People from around the world admire his eloquence as a spokesman for democracy and fighter for the oppressed. In this landmark biography, published fifty years after Lincoln's death, an English author recounted for his countrymen the remarkable story of Lincoln's life. Lord Charnwood's comprehensive biography, among the first major books about the sixteenth president, presents a sensitive and literate portrait, tracing Lincoln's rise from humble origins to the highest office in the land and recapturing the profound humanity of his character. From the grinding poverty of his boyhood in the backwoods of Kentucky and Indiana and his early struggles as a prairie lawyer, the author charts Lincoln's elevation to the Illinois legislature, Congress, and the presidency, culminating in his role as commander in chief during the bloodiest struggles in American history. Beautifully written, this unabridged edition also offers profound historical insights into the factors contributing to the Civil War, including economic and political conditions, territorial expansion, foreign and domestic policies, and slavery. This splendid profile of an epic figure whose relevance endures and grows with the passage of time is essential reading for admirers of Lincoln, students and scholars of American history, and anyone who appreciates a well-written, engrossing biography. (less)","Biography, History, Nonfiction, Politics, Presidents, Military History, Civil War, North American Hi..., American History, Politics, Biography Memoir, American History, American Civil War, War, Military Fiction",paperback,512.0,9780486299594.0,eleanorhporter biography history nonfiction politics presidents militaryhistory civilwar northamericanhi... americanhistory politics biographymemoir americanhistory americancivilwar war militaryfiction,civil war including economic landmark biography published fifty years preserver american history beautifully written union admirers democracy pantheon political conditions territorial expansion foreign scholars author charts lincolns elevation grinding poverty character presidency culminating appreciates essential reading remarkable story early struggles passage unique niche oppressed literate portrait tracing rise unabridged edition also offers profound historical insights well engrossing less role illinois legislature congress emancipator eloquence land splendid profile grows life lord charnwoods comprehensive among sixteenth president presents death world admire leaders people sensitive anyone countrymen english recounted chief domestic policies first major books around humble origins boyhood backwoods kentucky commander slaves lincoln occupies time factors contributing epic figure whose relevance endures slavery indiana highest office spokesman fighter bloodiest students humanity prairie lawyer recapturing,eleanorhporter biography history nonfiction politics presidents militaryhistory civilwar northamericanhi... americanhistory politics biographymemoir americanhistory americancivilwar war militaryfiction civil war including economic landmark biography published fifty years preserver american history beautifully written union admirers democracy pantheon political conditions territorial expansion foreign scholars author charts lincolns elevation grinding poverty character presidency culminating appreciates essential reading remarkable story early struggles passage unique niche oppressed literate portrait tracing rise unabridged edition also offers profound historical insights well engrossing less role illinois legislature congress emancipator eloquence land splendid profile grows life lord charnwoods comprehensive among sixteenth president presents death world admire leaders people sensitive anyone countrymen english recounted chief domestic policies first major books around humble origins boyhood backwoods kentucky commander slaves lincoln occupies time factors contributing epic figure whose relevance endures slavery indiana highest office spokesman fighter bloodiest students humanity prairie lawyer recapturing
A Voice in the Wilderness,Godfrey Rathbone Benson Charnwood,574051,4.07,802,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1450803792l/574051._SY475_.jpg,"While on her way to Arizona to teach school, beautiful Margaret Earle suddenly finds herself lost in the wilderness. When a ragged man happens across her in the middle of the night, she believes help has arrived--but he turns out to be even more threatening than the wilderness, and Margaret runs from him in desperation. Lost once more, besieged by the elements, terrified by the howling of wild beasts around her, Margaret wonders how she will survive.  Enter Lance Gardley, a handsome young cowboy who rides out of the darkness to save Margaret's life--and together they discover a new understanding of true friendship . . . and love. (less)","Romance, Christian Fiction, Christian, Fiction, Romance, Christian Romance",paperback,315.0,9780842379083.0,godfreyrathbonebensoncharnwood romance christianfiction christian fiction romance christianromance,even new understanding discover believes help together margaret wonders darkness love less threatening arizona turns true friendship runs arrived desperation lost survive enter lance gardley middle besieged elements terrified rides way save margarets life night wilderness handsome young cowboy howling ragged man happens across wild beasts around teach school beautiful earle suddenly finds,godfreyrathbonebensoncharnwood romance christianfiction christian fiction romance christianromance even new understanding discover believes help together margaret wonders darkness love less threatening arizona turns true friendship runs arrived desperation lost survive enter lance gardley middle besieged elements terrified rides way save margarets life night wilderness handsome young cowboy howling ragged man happens across wild beasts around teach school beautiful earle suddenly finds
"Pilgrimage, Volume 1: Pointed Roofs, Backwater, Honeycomb",Grace Livingston Hill,1129959,3.73,142,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486589184l/1129959._SY475_.jpg,"The thirteen magnificent novels that comprise Pilgrimage are the first expression in English of what it is to be called 'stream of conciousness' technique, predating the work of both Joyce and Woolf, echoing that of Proust with whom Dorothy Richardson stands as one of the great innovatory figures of our time. These four volumes record in detail the life of Miriam Henderson. Through her experience - personal, spiritual, intellectual - Dorothy Richardson explores intensely what it means to be a woman, presenting feminine conciousness with a new voice, a new identity. (less)","Fiction, Classics",paperback,490.0,9780860681007.0,gracelivingstonhill fiction classics,experience personal spiritual intellectual dorothy richardson explores intensely woolf echoing joyce detail miriam henderson one four volumes record work stands conciousness technique predating called stream english thirteen magnificent novels life means comprise pilgrimage new voice woman presenting feminine time great innovatory figures proust first expression identity less,gracelivingstonhill fiction classics experience personal spiritual intellectual dorothy richardson explores intensely woolf echoing joyce detail miriam henderson one four volumes record work stands conciousness technique predating called stream english thirteen magnificent novels life means comprise pilgrimage new voice woman presenting feminine time great innovatory figures proust first expression identity less
You Know Me Al,Dorothy M. Richardson,971435,3.83,717,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347987471l/971435.jpg,"""You Know me Al"" is a classic of baseball--the game and the community. Jack Keefe, one of literature's greatest characters, is talented, brash, and conceited. Self-assured and imperceptive, impervious to both advice and sarcasm, Keefe rises to the heights, but his inability to learn makes for his undoing. Through a series of letters from this bush-league pitcher to his not-quite-anonymous friend Al, Lardner maintains a balance between the funny and the moving, the pathetic and the glorious. Nostalgic in its view of pre-World War I America--a time before the ""live"" ball, a time filled with names like Ty Cobb, Charles Comiskey, Walter Johnson, and Eddie Cicotte--this is not a simple period piece. It is about competition, about the ability to reason, and most of all it is about being human. First published in 1914, ""You Know Me Al"" says as much to us about ourselves today as it did seventy-five years ago. (less)","Sports, Baseball, Fiction, Sports, Sports, Humor, Classics, Literature, American",paperback,224.0,9780020223429.0,dorothymrichardson sports baseball fiction sports sports humor classics literature american,literatures greatest characters eddie cicotte moving ability view us competition simple period piece pathetic inability names like ty cobb charles comiskey walter johnson funny al says time filled quite anonymous friend lardner maintains live ball today series know talented brash glorious nostalgic community jack keefe one america learn makes sarcasm rises baseball undoing heights bush league pitcher reason much seventy five years ago less advice conceited self assured imperceptive impervious letters pre world war human first published game classic balance,dorothymrichardson sports baseball fiction sports sports humor classics literature american literatures greatest characters eddie cicotte moving ability view us competition simple period piece pathetic inability names like ty cobb charles comiskey walter johnson funny al says time filled quite anonymous friend lardner maintains live ball today series know talented brash glorious nostalgic community jack keefe one america learn makes sarcasm rises baseball undoing heights bush league pitcher reason much seventy five years ago less advice conceited self assured imperceptive impervious letters pre world war human first published game classic balance
The Two Babylons,Ring Lardner,750676,3.98,452,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348523296l/750676.jpg,"Originally a pamphlet published in 1853, The Two Babylons is Hislop's most famous work. In this book he argues that the Roman Catholic Church is nothing more than pagan cult, with roots in Babylonian mystery cults, which have a bank of secret knowledge only available to those who have been formally accepted into the cult. Roman Catholics, Hislop argues, are descendants from early Christians who adopted the Roman religion descended from the worship of Semiramis, the wife of the founder of Babylon. By discrediting the true Christianity of Catholics, Hislop hoped to bolster the legitimacy of the Protestant and Scottish Reformations. Students of theology and those interested in the complex history of Christianity will find Hislop's arguments provocative enough that they may be moved to further research of their own. Scottish minister ALEXANDER HISLOP (1807-1865) became an ordained clergymen in the Free Church of Scotland in 1844. As a Presbyterian minister, Hislop was famously critical of (less)","History, Nonfiction, Religion, Religion, Christianity, Christian, Spirituality",paperback,330.0,9781881316367.0,ringlardner history nonfiction religion religion christianity christian spirituality,pamphlet published secret knowledge less bank protestant wife legitimacy may catholics hislop hoped babylonian mystery cults famously critical semiramis interested bolster babylon originally scottish minister alexander became hislops christianity true two babylons roots book famous work ordained clergymen pagan cult founder discrediting nothing research early christians moved roman argues presbyterian find arguments provocative enough religion descended catholic church reformations students available adopted free scotland theology formally accepted descendants complex history worship,ringlardner history nonfiction religion religion christianity christian spirituality pamphlet published secret knowledge less bank protestant wife legitimacy may catholics hislop hoped babylonian mystery cults famously critical semiramis interested bolster babylon originally scottish minister alexander became hislops christianity true two babylons roots book famous work ordained clergymen pagan cult founder discrediting nothing research early christians moved roman argues presbyterian find arguments provocative enough religion descended catholic church reformations students available adopted free scotland theology formally accepted descendants complex history worship
Xingu,Alexander Hislop,1862884,3.99,659,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348302037l/1862884.jpg,,"Short Stories, Classics, Fiction, Humor",paperback,48.0,9781419195136.0,alexanderhislop shortstories classics fiction humor,,alexanderhislop shortstories classics fiction humor 
પાટણની પ્રભુતા,Edith Wharton,24484477,4.33,207,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421179804l/24484477.jpg,"The kingdom of Patan faces an ominous future. King Karnadev lies on his deathbed. His son, Jaydev, is too young to ascend the throne. Rumours abound of scheming warlords intent on establishing their own independence and powerful merchants plotting to wrest control from Patan Fort. There is also the shadowy monk Anandsuri and his vision to unite Patan under one religion: Jainism. In the eye of this gathering storm are Queen Minaldevi and the shrewd chief minister Munjal Mehta. Both have striven to maintain order in Patan and ensure that Jaydev's succession is secure. But the attraction between them is threatened by betrayal and intrigue, with dramatic consequences for the future of Patan. A sprawling, fast-paced saga in the oeuvre of Alexandre Dumas, The Glory of Patan is the first book in an epic trilogy about the exploits of the magnificent Chalukya dynasty at a crucial period in the history of Gujarat. (less)","Historical, Historical Fiction",hardcover,248.0,9788184612318.0,edithwharton historical historicalfiction,magnificent chalukya dynasty patan wrest control faces jaydevs succession queen minaldevi maintain order independence glory threatened one religion jainism establishing also first book unite shadowy monk anandsuri scheming warlords intent eye betrayal son jaydev deathbed ascend future alexandre dumas history shrewd chief minister munjal mehta kingdom gathering storm sprawling fast paced saga young ensure exploits throne rumours abound crucial period gujarat less epic trilogy attraction fort intrigue dramatic consequences oeuvre striven ominous king karnadev lies secure vision powerful merchants plotting,edithwharton historical historicalfiction magnificent chalukya dynasty patan wrest control faces jaydevs succession queen minaldevi maintain order independence glory threatened one religion jainism establishing also first book unite shadowy monk anandsuri scheming warlords intent eye betrayal son jaydev deathbed ascend future alexandre dumas history shrewd chief minister munjal mehta kingdom gathering storm sprawling fast paced saga young ensure exploits throne rumours abound crucial period gujarat less epic trilogy attraction fort intrigue dramatic consequences oeuvre striven ominous king karnadev lies secure vision powerful merchants plotting
The Clue of the Twisted Candle,K.M. Munshi,854300,3.51,569,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348623007l/854300.jpg,"'The Urbane T.X. is back in this locked-room mystery by British master storyteller Edgar Wallace. The renown mystery writer John Lexman is charged with murder and sent to prison. His friend T.X. Meredith, employed by Scotland Yard, tries to prove his innocence.","Mystery, Fiction, Mystery, Crime, Classics, European Literature, British Literature",paperback,192.0,9781419157028.0,kmmunshi mystery fiction mystery crime classics europeanliterature britishliterature,sent scotland yard tries urbane friend prison x back renown mystery writer john lexman prove innocence meredith employed locked room british master storyteller edgar wallace murder charged,kmmunshi mystery fiction mystery crime classics europeanliterature britishliterature sent scotland yard tries urbane friend prison x back renown mystery writer john lexman prove innocence meredith employed locked room british master storyteller edgar wallace murder charged
Green Face,Edgar Wallace,575836,3.92,471,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348606528l/575836.jpg,"A stranger enters a magician's shop. Inside, among several strange customers, he sees an old man, who makes him sick with horror. The rest of the novel chronicles his quest for the elusive and horrible old man.","Fiction, Fantasy, Horror, Classics",paperback,100.0,9780946626922.0,edgarwallace fiction fantasy horror classics,sick stranger enters old man magicians shop inside among several strange customers makes horror quest novel chronicles elusive horrible sees rest,edgarwallace fiction fantasy horror classics sick stranger enters old man magicians shop inside among several strange customers makes horror quest novel chronicles elusive horrible sees rest
The Border Legion,Gustav Meyrink,121179,3.72,603,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1566286476l/121179.jpg,This book was converted from its physical edition to the digital format by a community of volunteers. You may find it for free on the web. Purchase of the Kindle edition includes wireless delivery.,"Westerns, Fiction, Classics, Adventure",mass market paperback,,9781406927207.0,gustavmeyrink westerns fiction classics adventure,free converted digital format web purchase volunteers may find kindle edition includes wireless delivery community physical book,gustavmeyrink westerns fiction classics adventure free converted digital format web purchase volunteers may find kindle edition includes wireless delivery community physical book
Занимательная физика. Книга 2,Zane Grey,35107563,4.45,295,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494397672l/35107563._SY475_.jpg,"Парадоксы, головоломки, задачи, опыты, замысловатые вопросы и разсказы изъ области физики.  Книга вторая","Science, Science, Physics, Nonfiction",paperback,225.0,,zanegrey science science physics nonfiction,парадоксы головоломки задачи опыты замысловатые вопросы и разсказы изъ области физики книга вторая,zanegrey science science physics nonfiction парадоксы головоломки задачи опыты замысловатые вопросы и разсказы изъ области физики книга вторая
